Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,052769106,ADSK ,"2,536,039","615,851,710.76",0.462,Autodesk Inc,Common Stock,Information Technology,10/29/2020
QQQ,512807108,LRCX ,"1,684,884","595,202,121.84",0.446,Lam Research Corp,Common Stock,Information Technology,10/29/2020
QQQ,452327109,ILMN ,"1,689,317","531,965,923.30",0.399,Illumina Inc,Common Stock,Health Care,10/29/2020
QQQ,032654105,ADI ,"4,271,383","506,073,457.84",0.379,Analog Devices Inc,Common Stock,Information Technology,10/29/2020
QQQ,550021109,LULU ,"1,438,414","474,892,382.10",0.356,Lululemon Athletica Inc,Common Stock,Consumer Discretionary,10/29/2020
QQQ,61174X109,MNST ,"6,102,360","473,176,994.40",0.355,Monster Beverage Corp,Common Stock,Consumer Staples,10/29/2020
QQQ,256163106,DOCU ,"2,140,753","457,371,878.45",0.343,DocuSign Inc,Common Stock,Information Technology,10/29/2020
QQQ,30161N101,EXC ,"11,275,597","452,827,975.52",0.339,Exelon Corp,Common Stock,Utilities,10/29/2020
QQQ,09062X103,BIIB ,"1,831,741","449,655,780.68",0.337,Biogen Inc,Common Stock,Health Care,10/29/2020
QQQ,98138H101,WDAY ,"2,048,041","445,715,162.83",0.334,Workday Inc,Common Stock,Information Technology,10/29/2020
QQQ,192446102,CTSH ,"6,274,074","445,584,735.48",0.334,Cognizant Technology Solutions Corp,Common Stock,Information Technology,10/29/2020
QQQ,49271V100,KDP ,"16,282,058","442,709,157.02",0.332,Keurig Dr Pepper Inc,Common Stock,Consumer Staples,10/29/2020
QQQ,N6596X109,NXPI ,"3,230,743","439,930,274.31",0.330,NXP Semiconductors NV,Common Stock,Information Technology,10/29/2020
QQQ,45168D104,IDXX ,"984,128","434,787,750.40",0.326,IDEXX Laboratories Inc,Common Stock,Health Care,10/29/2020
QQQ,98389B100,XEL ,"6,078,493","429,992,594.82",0.322,Xcel Energy Inc,Common Stock,Utilities,10/29/2020
QQQ,056752108,BIDU ,"3,253,579","429,342,284.84",0.322,Baidu Inc ADR,American Depository Receipt,Communication Services,10/29/2020
QQQ,500754106,KHC ,"14,145,914","424,943,256.56",0.318,Kraft Heinz Co/The,Common Stock,Consumer Staples,10/29/2020
QQQ,285512109,EA ,"3,341,605","414,024,859.50",0.310,Electronic Arts Inc,Common Stock,Communication Services,10/29/2020
